,s0_train,s1_train,s2_train
387,305.0,304.5999999999999,312.6
388,300.0,300.4,311.0
389,297.0,294.99999999999994,308.0
390,291.0,289.59999999999997,304.6
391,282.0,284.3999999999999,300.4
392,278.0,278.99999999999994,295.0
393,274.0,274.3999999999999,289.6
394,270.0,272.5999999999999,284.4
395,268.0,271.59999999999997,279.0
396,273.0,270.79999999999995,274.4
397,273.0,271.3999999999999,272.6
398,270.0,272.79999999999995,271.6
399,273.0,274.19999999999993,270.8
400,275.0,276.3999999999999,271.4
401,280.0,279.3999999999999,272.8
402,284.0,281.5999999999999,274.2
403,285.0,282.59999999999997,276.4
404,284.0,281.99999999999994,279.4
405,280.0,280.19999999999993,281.6
406,277.0,278.19999999999993,282.6
407,275.0,276.79999999999995,282.0
408,275.0,276.4,280.2
409,277.0,276.79999999999995,278.2
410,278.0,277.59999999999997,276.8
411,279.0,278.19999999999993,276.4
412,279.0,277.99999999999994,276.8
413,278.0,276.99999999999994,277.6
414,276.0,275.59999999999997,278.2
415,273.0,274.3999999999999,278.0
416,272.0,273.19999999999993,277.0
417,273.0,272.0,275.6
418,272.0,271.4,274.4
419,270.0,270.5999999999999,273.2
420,270.0,268.59999999999997,272.0
421,268.0,266.19999999999993,271.4
422,263.0,263.59999999999997,270.6
423,260.0,260.99999999999994,268.6
424,257.0,258.79999999999995,266.2
425,257.0,258.0,263.6
426,257.0,258.19999999999993,261.0
427,259.0,258.99999999999994,258.8
428,261.0,259.5999999999999,258.0
429,261.0,259.79999999999995,258.2
430,260.0,259.19999999999993,259.0
431,258.0,257.99999999999994,259.6
432,256.0,256.99999999999994,259.8
433,255.0,256.4,259.2
434,256.0,256.19999999999993,258.0
435,257.0,256.19999999999993,257.0
436,257.0,256.4,256.4
437,256.0,256.4,256.2
438,256.0,256.4,256.2
439,256.0,256.79999999999995,256.4
440,257.0,257.5999999999999,256.4
441,259.0,258.19999999999993,256.4
442,260.0,258.59999999999997,256.8
443,259.0,258.59999999999997,257.6
444,258.0,257.59999999999997,258.2
445,257.0,255.79999999999995,258.6
446,254.0,253.59999999999997,258.6
447,251.0,251.19999999999996,257.6
448,248.0,249.19999999999993,255.8
449,246.0,247.59999999999994,253.6
450,247.0,246.59999999999997,251.2
451,246.0,246.19999999999993,249.2
452,246.0,246.19999999999996,247.6
453,246.0,246.39999999999995,246.6
454,246.0,246.99999999999994,246.2
455,248.0,246.79999999999993,246.2
456,249.0,246.39999999999992,246.4
457,245.0,245.39999999999998,247.0
458,244.0,242.19999999999993,246.8
459,241.0,238.19999999999993,246.4
460,232.0,234.99999999999994,245.4
461,229.0,231.79999999999995,242.2
462,229.0,229.19999999999996,238.2
463,228.0,228.39999999999995,235.0
464,228.0,227.99999999999994,231.8
465,228.0,227.39999999999998,229.2
466,227.0,226.19999999999996,228.4
467,226.0,222.79999999999995,228.0
468,222.0,216.39999999999995,227.4
469,211.0,207.19999999999993,226.2
470,196.0,193.99999999999994,222.8
471,181.0,178.19999999999996,216.4
472,160.0,161.39999999999998,207.2
473,143.0,146.19999999999996,194.0
474,127.0,132.39999999999998,178.2
475,120.0,122.39999999999998,161.4
476,112.0,116.6,146.2
